Trend_Name,Search_Term,Topic_Flag,Category,Region,Dates,API_Query
cholesterol,cholesterol-chemical compound,1,F&D,US,5 Years Back,%2Fm%2F01w_3
coconut,coconut-plant,1,F&D,US,5 Years Back,%2Fm%2F0djtd
Corn,maize - grain,1,F&D,US,5 Years Back,%2Fm%2F053wn
Glycemic Index,low-glycemic diet,1,F&D,US,5 Years Back,%2Fm%2F02q0_f7
hfcs,high fructose corn syrup - food,1,F&D,US,5 Years Back,%2Fm%2F076xc1
iron,iron - chemical element,1,F&D,US,5 Years Back,%2Fm%2F025rw19
kefir,kefir - drink,1,F&D,US,5 Years Back,%2Fm%2F0lz7j
low carb reemergence,low-carbohydrate diet,1,F&D,US,5 Years Back,%2Fm%2F02c3sn
omega,omega-3-fatty acid,1,F&D,US,5 Years Back,%2Fm%2F05nkr
Organic,organic food,1,F&D,US,5 Years Back,%2Fm%2F018325
Protein,Protein - nutrient,1,F&D,US,5 Years Back,%2Fm%2F05wvs
Rice,rice - cereal,1,F&D,US,5 Years Back,%2Fm%2F09759
saturated fats,saturated fat - nutrient,1,F&D,US,5 Years Back,%2Fm%2F01n78x
sea salt,sea salt-ingredient,1,F&D,US,5 Years Back,%2Fm%2F01hm70
sugar,sugar - food,1,F&D,US,5 Years Back,%2Fm%2F06x4c
vegan,veganism - diet,1,F&D,US,5 Years Back,%2Fm%2F07_hy
Vegetarian,Vegetarianism - diet,1,F&D,US,5 Years Back,%2Fm%2F07_jd
wheat grains,wheat - cereal,1,F&D,US,5 Years Back,%2Fm%2F09696
whole grains,whole grain - food,1,F&D,US,5 Years Back,%2Fm%2F06hs2r
calcium,calcium - chemical element,1,F&D,US,5 Years Back,%2Fm%2F025tkqy
legumes,bean - food,1,F&D,US,5 Years Back,/m/01fp9
natural sweeteners,agave + stevia + monk fruit + honey + maple syrup + coconut sugar,0,F&D,US,5 Years Back,agave + stevia + monk fruit + honey + maple syrup + coconut sugar
real natural whole,all natural,0,F&D,US,5 Years Back,all natural
antioxidents,antioxidents,0,F&D,US,5 Years Back,antioxidents
artificial flavors and colors,artificial flavors + artificial colors + artificial flavor + artificial color,0,F&D,US,5 Years Back,artificial flavors + artificial colors + artificial flavor + artificial color
artificial sweeteners,aspartame + sucralose + artifical sweeteners,0,F&D,US,5 Years Back,aspartame + sucralose + artifical sweeteners
barley rye buckwheat,barley + rye + buckwheat,0,F&D,US,5 Years Back,barley + rye + buckwheat
dairy free,dairy free,0,F&D,US,5 Years Back,dairy free
Ancient Grains,einkorn + millet + teff + amaranth + ancient grain + ancient grains + halfpops + popghum + bulgar + spelt + freekeh + heritage grains + emmer,0,F&D,US,5 Years Back,einkorn + millet + teff + amaranth + ancient grain + ancient grains + halfpops + popghum + bulgar + spelt + freekeh + heritage grains + emmer
fermented foods,fermented foods + fermented food,0,F&D,US,5 Years Back,fermented foods + fermented food
fiber,fiber,0,F&D,US,5 Years Back,fiber
gluten free,gluten free,0,F&D,US,5 Years Back,gluten free
non-gmo,non gmo,0,F&D,US,5 Years Back,gmo + gmos + genetically modified organism + genetically modified organisms
grass fed,grass fed,0,F&D,US,5 Years Back,grass fed
hemp flax,hemp seed + flax seed,0,F&D,US,5 Years Back,hemp seed + flax seed
kombucha,kombucha,0,F&D,US,5 Years Back,kombucha
lactose free,lactose free,0,F&D,US,5 Years Back,lactose free
Low Salt,low sodium + low salt,0,F&D,US,5 Years Back,low sodium + low salt
nut free,nut free,0,F&D,US,5 Years Back,nut free
oats,oats + oat,0,F&D,US,5 Years Back,oats + oat
preservatives,preservaties,0,F&D,US,5 Years Back,preservaties
probiotics,probiotics,0,F&D,US,5 Years Back,probiotics
Soy free,soy free,0,F&D,US,5 Years Back,soy free
sprouted grain,sprouted grain,0,F&D,US,5 Years Back,sprouted grain
spices,tumeric + cardamom + ginger + cumin + cinnamon,0,F&D,US,5 Years Back,tumeric + cardamom + ginger + cumin + cinnamon
vitamins and minerals,vitamins + minerals,0,F&D,US,5 Years Back,vitamins + minerals
pouches,TBD,0,F&D,US,5 Years Back,TBD
caveman paleo wheatbelly,paleolithic diet,1,F&D,US,5 Years Back,%2Fm%2F01fkbs
